Artist Name,Twitter,Links,Wallet Address
[SIRSU] Ameer Suhayb Carter,@sirsuhayb,,0xEB95ff72EAb9e8D8fdb545FE15587AcCF410b42E
Dillon / ATM ,@dillonatm,,0xfa3a28bc7beedf3e196b0efb8804313c285b33dc
Darren Dempster,Twitter.com/that__boricua,,0x034aecdd0bb8294b297a3aa5bd71928fab124bc0
Shinji Akhirah,https://twitter.com/shinji_akhirah,,0xecd5e98bd002708868f36bb6daa29e16f11b98c0
Will Nichols ,@nevermindwill,,0x4e9cfd9dc692565e61e157e1f61339d869381b50
Faith-Love W.,https://twitter.com/Izzyalright,SuperRare (https://superrare.co/izzyalright),0x9df495176076301dd318633fe3f67b6ef783a165
Aaleah Lancaster ,https://twitter.com/artbyaili,Rarible (https://app.rarible.com/artbyaili); Zora (https://zora.co);,0x709a508929fa1d8ecc207e6d084882d7fa09a80a
Dominique Twyman ,https://twitter.com/_bydomo,,0x4bc157074d05459eb95accccc1939eea59d3fe4b
Enrico Moses,https://twitter.com/enricomoses,,
Jahmel Reynolds / Jah ,https://twitter.com/artbyjah,,0x9ed5c1b24478f5069febd8359a3869f971c365c3
Bria Thomas,https://twitter.com/thenamesbria_,,0xac819d205556c1e2fab560ae7875f5e7a0f38feb
Ciara Bourne ,https://twitter.com/ciaradesign_,,0xd9fd88913de000ea7134c8ecaa405c078c2ffdda
Emmanuel Okoye,https://Twitter.com/extrastu1,,0xd9944161833d1e9cf162dbab987191d6904a8dd6
Sean Williams ,https://twitter.com/iartsometimes,,0x8364d4b386b8643badad2e633514f431639ebd86
Mark Wilson ,https://twitter.com/surfdontfall,,0x8a4eb1a80d6cab82adc9718040a4345dbce14b57
Kai ,Https://twitter.com/akaimorton,,0xb71ccc1db28312cb2688e0881230f91fcb2085e2
Lyonna Lyu ,https://twitter.com/lyonnalyu,,0xf1510889965b8ac0cb33e0daad96e118dea8a201
Maxwell Step ,https://twitter.com/maxwell_step,,
Michael Felder,https://twitter.com/misterfelder,,
Rachel Smithers,https://twitter.com/racheldenisexx,,
Ruben Alexander,https://twitter.com/RubenAlexand3r,,0x10b54d8e8e7ea708e5c71915401261f92e03b376
Sempy ,https://twitter.com/SempyArts,,
Faniqua Silver,https://twitter.com/BredSilver,,
Thato ,https://twitter.com/can_of_hands,,
Ben Harriott,https://twitter.com/urben,,
"Otha ""Vakseen"" Davis III  ",https://twitter.com/vakseen,,
Voke,https://twitter.com/VeeArt7,,0x19058b87cc3975b2dd7d01b6e95102ab9e1a2a72
ZON ,https://twitter.com/ZexonONerotaki,,
Bobbi Thee Bad Guy ,https://twitter.com/bawbicai,,
Carlos Marcial ,https://twitter.com/carlosmarcialt,,0xa31d98b1aa71a99565ec2564b81f834e90b1097b
Cedrick Gustave,https://twitter.com/cedrickgustave,,
Craig Blackmoore (BLKMRE),,,
CryptoTreeLab,https://twitter.com/cryptotreee,,
CX_Kariiwe ,https://twitter.com/Naphthali1,,
Dev Moore (Felt Zine),@devmoore,,
Dimithry Victor,https://twitter.com/dimithryv,,0x1c3ffd4cf0ea242d17892f568fddcf1f620cdedb
Itzel Yard,twitter.com/ix_shells,,
James Owen ,https://twitter.com/_james_owen_,,
Jazmine / BLACKKSNEAKERS,https://twitter.com/BLACKKSNEAKERS,,0xd932009691c6e86de80501DA84eC7fEBd278Ead9
Kris Graves ,https://twitter.com/kgpnyc,,
Lane Stewart ,http://twitter.com/lanestewart,,
Leeaux,,,
Luke Beckford,http://twitter.com/lukevoice,,
Luz,https://twitter.com/sikotic4,,
Mark Digital HD (Felt Zine),@markdigitalhd,,
Niall Ashley,https://twitter.com/niallashley_,,
Paola ,https://twitter.com/les_dore,,
peenpoon,https://twitter.com/peenpoontweets,,0xeb418E53EFcDc351137C9A81c70967b8D7063f4C
Samer Dabra ,https://twitter.com/Spongenuity,,
Takee (CryptoCityNFT). [BAME],https://twitter.com/Crypto_city_nft,,0x99bec4a44f61b2cc9ba457946cfab3db0f412b49
Tayo Ladipo ,,,
Yosnier,https://twitter.com/Yosnier_,,0xE0154466c299D00925b7908138A38d5724848Ec1
Zack Fox ,https://twitter.com/zackfox,,
